EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10430	embplant_pt	psaA	psaA>>51676	psaA>>51676	psaA(1-144,embplant_pt)>>51676
10742	embplant_pt	ycf2	ycf2>>13362	ycf2>>13362	ycf2(1-251,embplant_pt)>>13362
1288	embplant_pt	rpl2	rpl2>>50906	rpl2>>50906	rpl2(1-75,embplant_pt)>>50906
13072	embplant_pt	rrn23	rrn23>>51622	rrn23>>51622	rrn23(491-565,embplant_pt)>>51622
13362	embplant_pt	ycf2	ycf2>>50804	ycf2>>50804	ycf2(1-114,embplant_pt)>>50804
13690	embplant_pt	psbB	psbB>>51652	psbB>>51652	psbB(1-266,embplant_pt)>>51652
14144	embplant_pt	rpoC1	rpoC1>>51646	rpoC1>>51646	rpoC1(1-375,embplant_pt)>>51646
3166	embplant_pt	psaA	psaA>>51718	psaA>>51718	psaA(1-216,embplant_pt)>>51718
3168	embplant_pt	psaA	psaA>>51718	psaA>>51718	psaA(1-75,embplant_pt)>>51718
3206	embplant_pt	psaA	psaA>>51506	psaA>>51506	psaA(1-316,embplant_pt)>>51506
3478	embplant_pt	ndhB	ndhB>>51706	ndhB>>51706	ndhB(294-368,embplant_pt)>>51706
4174	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-91,embplant_pt)
438	embplant_pt	rbcL	rbcL>>51700	rbcL>>51700	rbcL(1-277,embplant_pt)>>51700
4410	embplant_pt	rrn23	rrn23>>51610	rrn23>>51610	rrn23(424-907,embplant_pt)>>51610
44734	embplant_pt	rrn16	rrn16	rrn16	rrn16(329-601,embplant_pt)
45902	embplant_pt	rps4	rps4>>50928	rps4>>50928	rps4(283-456,embplant_pt)>>50928
46878	embplant_pt	rps4	rps4>>47654	rps4>>47654	rps4(22-142,embplant_pt)>>47654
47290	embplant_pt	ndhK	ndhK>>51604	ndhK>>51604	ndhK(68-265,embplant_pt)>>51604
47398	embplant_pt	ycf2	ycf2	ycf2	ycf2(6-185,embplant_pt)
47654	embplant_pt	rps4	rps4>>46878	rps4>>46878	rps4(1-311,embplant_pt)>>46878
