EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1016160	embplant_pt	psaA	psaA>>16144634	psaA>>16144634	psaA(1-216,embplant_pt)>>16144634
1354100	embplant_mt	atp9	atp9>>15680646	atp9>>15680646	atp9(1-161,embplant_mt)>>15680646
136860	embplant_pt	rbcL	rbcL>>16143638	rbcL>>16143638	rbcL(1-277,embplant_pt)>>16143638
14763390	embplant_pt	psaA	psaA>>16144634	psaA>>16144634	psaA(1-75,embplant_pt)>>16144634
14940178	embplant_pt	rps4	rps4>>15010344	rps4>>15010344	rps4(22-142,embplant_pt)>>15010344
14975854	embplant_pt	ndhK	ndhK>>16132922	ndhK>>16132922	ndhK(68-265,embplant_pt)>>16132922
15003672	embplant_pt	rps4	rps4>>14940178	rps4>>14940178	rps4(1-312,embplant_pt)>>14940178
15010344	embplant_pt	rps4	rps4>>14940178	rps4>>14940178	rps4(1-311,embplant_pt)>>14940178
15033770	embplant_pt	ycf2	ycf2>>16143556	ycf2>>16143556	ycf2(1-591,embplant_pt)>>16143556
15112768	embplant_pt	rrn23	rrn23>>16132214	rrn23>>16132214	rrn23(3993-4476,embplant_pt)>>16132214
15114056	embplant_pt	ycf2	ycf2>>15690446	ycf2>>15690446	ycf2(1-168,embplant_pt)>>15690446
15164184	embplant_pt	rpoC2	rpoC2>>16129356	rpoC2>>16129356	rpoC2(1-300,embplant_pt)>>16129356
15256962	embplant_pt	rps4	rps4	rps4	rps4(1-174,embplant_pt)
15269872	embplant_pt	psbB	psbB>>16083370	psbB>>16083370	psbB(1-266,embplant_pt)>>16083370
15285210	embplant_pt	ycf3	ycf3>>16451532	ycf3>>16451532	ycf3(31-175,embplant_pt)>>16451532
15294670	embplant_pt	rbcL	rbcL>>16143638	rbcL>>16143638	rbcL(1-609,embplant_pt)>>16143638
15355472	embplant_mt	rrn5	rrn5>>1095938	rrn5>>1095938	rrn5(6144-6259,embplant_mt)>>1095938
15431411	embplant_pt	rpoC1	rpoC1>>16117162	rpoC1>>16117162	rpoC1(6-383,embplant_pt)>>16117162
15441371	embplant_pt	psaA	psaA>>16144634	psaA>>16144634	psaA(1-291,embplant_pt)>>16144634
15462279	embplant_pt	psbC	psbC>>15664864	psbC>>15664864	psbC(1-124,embplant_pt)>>15664864
15529393	embplant_mt	cox2	cox2>>897042	cox2>>897042	cox2(155-3233,embplant_mt)>>897042
15600248	embplant_pt	ycf2	ycf2>>4411472	ycf2>>4411472	ycf2(1-287,embplant_pt)>>4411472
15607358	embplant_mt	nad3,rps12,sdh3	sdh3>>nad3>>rps12>>16451532	sdh3>>nad3>>rps12>>16451532	sdh3(1-174,embplant_mt)>>nad3(767-1123,embplant_mt)>>rps12(1172-1549,embplant_mt)>>16451532
15609032	embplant_mt;embplant_pt	rps13;rrn23	rrn23>>rps13	rrn23>>rps13	rrn23(1-75,embplant_pt)>>rps13(371-721,embplant_mt)
15615340	embplant_pt	ndhB,ycf15,ycf2	ndhB>>ycf15>>ycf2>>16143556	ndhB>>ycf15>>ycf2>>16143556	ndhB(1-1087,embplant_pt)>>ycf15(2165-2267,embplant_pt)>>ycf2(2383-2815,embplant_pt)>>16143556
15615812	embplant_pt	psaA	psaA>>16140432	psaA>>16140432	psaA(8-323,embplant_pt)>>16140432
