EDGE	database	loci	loci_gene_sequential	loci_sequential	details
11842	embplant_pt	psaA	psaA>>58596	psaA>>58596	psaA(1-144,embplant_pt)>>58596
12196	embplant_pt	ycf2	ycf2>>15252	ycf2>>15252	ycf2(1-251,embplant_pt)>>15252
1446	embplant_pt	rpl2	rpl2>>57784	rpl2>>57784	rpl2(1-75,embplant_pt)>>57784
15252	embplant_pt	ycf2	ycf2>>57670	ycf2>>57670	ycf2(1-114,embplant_pt)>>57670
15634	embplant_pt	psbB	psbB>>58566	psbB>>58566	psbB(1-266,embplant_pt)>>58566
16174	embplant_pt	rpoC1	rpoC1>>58560	rpoC1>>58560	rpoC1(1-375,embplant_pt)>>58560
3548	embplant_pt	psaA	psaA>>58632	psaA>>58632	psaA(1-216,embplant_pt)>>58632
3550	embplant_pt	psaA	psaA>>58632	psaA>>58632	psaA(1-75,embplant_pt)>>58632
3590	embplant_pt	psaA	psaA>>58414	psaA>>58414	psaA(1-316,embplant_pt)>>58414
500	embplant_pt	rbcL	rbcL>>58614	rbcL>>58614	rbcL(1-277,embplant_pt)>>58614
50638	embplant_pt	psbZ	psbZ>>57860	psbZ>>57860	psbZ(226-345,embplant_pt)>>57860
52408	embplant_pt	rps4	rps4>>57810	rps4>>57810	rps4(940-1113,embplant_pt)>>57810
53436	embplant_pt	rps4	rps4>>54260	rps4>>54260	rps4(22-142,embplant_pt)>>54260
53874	embplant_pt	ndhK	ndhK>>58518	ndhK>>58518	ndhK(68-265,embplant_pt)>>58518
54260	embplant_pt	rps4	rps4>>53436	rps4>>53436	rps4(1-311,embplant_pt)>>53436
54520	embplant_pt	ycf2	ycf2>>58608	ycf2>>58608	ycf2(1-591,embplant_pt)>>58608
55294	embplant_pt	rps4	rps4>>58378	rps4>>58378	rps4(1042-1154,embplant_pt)>>58378
55504	embplant_pt	rrn23	rrn23>>58524	rrn23>>58524	rrn23(3993-4476,embplant_pt)>>58524
55522	embplant_pt	ycf2	ycf2>>57946	ycf2>>57946	ycf2(1-168,embplant_pt)>>57946
55656	embplant_pt	ndhB	ndhB>>58620	ndhB>>58620	ndhB(885-959,embplant_pt)>>58620
55698	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>58572	rps13>>rrn23>>58572	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>58572
55930	embplant_pt	rpoC2	rpoC2>>58480	rpoC2>>58480	rpoC2(1-300,embplant_pt)>>58480
56048	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS(139-680,embplant_mt)>>rrn16(307-568,embplant_pt)>>rrnS(791-2052,embplant_mt)>>rrn16(938-1796,embplant_pt)
56076	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
56570	embplant_pt	rpl2	rpl2>>58030	rpl2>>58030	rpl2(85-159,embplant_pt)>>58030
56596	embplant_pt	ycf3	ycf3>>58578	ycf3>>58578	ycf3(31-175,embplant_pt)>>58578
56638	embplant_pt	rbcL	rbcL>>58614	rbcL>>58614	rbcL(1-609,embplant_pt)>>58614
56784	embplant_mt	rrn5	rrn5>>3852	rrn5>>3852	rrn5(1776-1891,embplant_mt)>>3852
56804	embplant_pt	ycf3	ycf3>>14890	ycf3>>14890	ycf3(2261-2412,embplant_pt)>>14890
57074	embplant_mt	nad3,sdh3	sdh3>>nad3	sdh3>>nad3	sdh3(1-174,embplant_mt)>>nad3(767-1120,embplant_mt)
57126	embplant_pt	rpoC1	rpoC1>>58396	rpoC1>>58396	rpoC1(6-383,embplant_pt)>>58396
57170	embplant_pt	psaA	psaA>>58632	psaA>>58632	psaA(1-291,embplant_pt)>>58632
57222	embplant_mt	rpl2	rpl2	rpl2	rpl2(4086-4750,embplant_mt)
57256	embplant_pt	psbC	psbC>>57860	psbC>>57860	psbC(1-124,embplant_pt)>>57860
57380	embplant_mt	nad1	nad1>>58638	nad1>>58638	nad1(85-343,embplant_mt)>>58638
