EDGE	database	loci	loci_gene_sequential	loci_sequential	details
1169172	embplant_mt	atp9	atp9>>13632364	atp9>>13632364	atp9(1-161,embplant_mt)>>13632364
118796	embplant_pt	rbcL	rbcL>>14093042	rbcL>>14093042	rbcL(1-277,embplant_pt)>>14093042
12752092	embplant_pt	psaA	psaA>>14093766	psaA>>14093766	psaA(1-75,embplant_pt)>>14093766
12846432	embplant_pt	rps4	rps4>>13607622	rps4>>13607622	rps4(940-1113,embplant_pt)>>13607622
12912634	embplant_pt	psbB	psbB>>14031166	psbB>>14031166	psbB(1-266,embplant_pt)>>14031166
12924328	embplant_pt	rps4	rps4>>12992620	rps4>>12992620	rps4(22-142,embplant_pt)>>12992620
12959194	embplant_pt	ndhK	ndhK>>14082792	ndhK>>14082792	ndhK(68-265,embplant_pt)>>14082792
12986150	embplant_pt	rps4	rps4>>12924328	rps4>>12924328	rps4(1-312,embplant_pt)>>12924328
12992620	embplant_pt	rps4	rps4>>12924328	rps4>>12924328	rps4(1-311,embplant_pt)>>12924328
13015520	embplant_pt	ycf2	ycf2>>14092880	ycf2>>14092880	ycf2(1-591,embplant_pt)>>14092880
13091166	embplant_pt	rrn23	rrn23>>14080888	rrn23>>14080888	rrn23(3993-4476,embplant_pt)>>14080888
13092392	embplant_pt	ycf2	ycf2>>13641644	ycf2>>13641644	ycf2(1-168,embplant_pt)>>13641644
13140506	embplant_pt	rpoC2	rpoC2>>14078312	rpoC2>>14078312	rpoC2(1-300,embplant_pt)>>14078312
13255712	embplant_pt	ycf3	ycf3>>14087258	ycf3>>14087258	ycf3(31-175,embplant_pt)>>14087258
13264646	embplant_pt	rbcL	rbcL>>14093042	rbcL>>14093042	rbcL(1-609,embplant_pt)>>14093042
13322450	embplant_mt	rrn5	rrn5>>946674	rrn5>>946674	rrn5(6144-6259,embplant_mt)>>946674
13394774	embplant_pt	rpoC1	rpoC1>>14065844	rpoC1>>14065844	rpoC1(6-383,embplant_pt)>>14065844
13404076	embplant_pt	psaA	psaA>>14093766	psaA>>14093766	psaA(1-291,embplant_pt)>>14093766
13423986	embplant_pt	psbC	psbC>>13617254	psbC>>13617254	psbC(1-124,embplant_pt)>>13617254
13488192	embplant_mt	cox2	cox2>>775098	cox2>>775098	cox2(155-3233,embplant_mt)>>775098
13556006	embplant_pt	ycf2	ycf2>>3809062	ycf2>>3809062	ycf2(1-287,embplant_pt)>>3809062
