EDGE	database	loci	loci_gene_sequential	loci_sequential	details
12269306	embplant_pt	rps4	rps4>>13675820	rps4>>13675820	rps4(940-1113,embplant_pt)>>13675820
12387708	embplant_mt	nad7	nad7	nad7	nad7(613-755,embplant_mt)
12401162	embplant_mt	nad1	nad1	nad1	nad1(514-772,embplant_mt)
12432050	embplant_pt	ycf2	ycf2>>13491100	ycf2>>13491100	ycf2(1-591,embplant_pt)>>13491100
12504708	embplant_pt	rrn23	rrn23>>13679314	rrn23>>13679314	rrn23(3993-4476,embplant_pt)>>13679314
12511214	embplant_pt	psbZ	psbZ	psbZ	psbZ(1-120,embplant_pt)
12536888	embplant_mt	rpl16,rps3	rpl16>>rps3	rpl16>>rps3	rpl16(1246-1803,embplant_mt)>>rps3(1649-1971,embplant_mt)
12539588	embplant_mt	nad4	nad4	nad4	nad4(366-454,embplant_mt)
12555122	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
12572982	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
12577972	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-91,embplant_pt)
12591630	embplant_mt	atp8	atp8>>12252508	atp8>>12252508	atp8(260-739,embplant_mt)>>12252508
12663016	embplant_pt	ycf3	ycf3>>13679086	ycf3>>13679086	ycf3(31-175,embplant_pt)>>13679086
12712306	embplant_pt	ycf3	ycf3>>3546422	ycf3>>3546422	ycf3(1358-1509,embplant_pt)>>3546422
12784428	embplant_mt	nad4L	nad4L	nad4L	nad4L(2445-2736,embplant_mt)
12815632	embplant_mt	nad3,rps12,sdh3	sdh3>>nad3>>rps12	sdh3>>nad3>>rps12	sdh3(1-174,embplant_mt)>>nad3(767-1123,embplant_mt)>>rps12(1172-1549,embplant_mt)
12819648	embplant_mt	rpl2	rpl2	rpl2	rpl2(2566-2863,embplant_mt)
12822994	embplant_pt	ndhB	ndhB	ndhB	ndhB(1-75,embplant_pt)
12857584	embplant_mt	nad7	nad7	nad7	nad7(1-2177,embplant_mt)
12883050	embplant_pt	rbcL	rbcL>>13679660	rbcL>>13679660	rbcL(1540-1654,embplant_pt)>>13679660
12887024	embplant_mt	cox2	cox2	cox2	cox2(162-244,embplant_mt)
12894680	embplant_pt	rrn23	rrn23>>13486730	rrn23>>13486730	rrn23(1597-1671,embplant_pt)>>13486730
