EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10264	embplant_pt	ycf2	ycf2>>12798	ycf2>>12798	ycf2(1-251,embplant_pt)>>12798
11316	embplant_pt	rrn23	rrn23	rrn23	rrn23(1-484,embplant_pt)
1258	embplant_pt	rpl2	rpl2>>47970	rpl2>>47970	rpl2(1-75,embplant_pt)>>47970
12798	embplant_pt	ycf2	ycf2>>48658	ycf2>>48658	ycf2(1-114,embplant_pt)>>48658
13112	embplant_pt	psbB	psbB>>49434	psbB>>49434	psbB(1-266,embplant_pt)>>49434
13522	embplant_pt	rpoC1	rpoC1>>49428	rpoC1>>49428	rpoC1(1-375,embplant_pt)>>49428
3064	embplant_pt	psaA	psaA>>49500	psaA>>49500	psaA(1-216,embplant_pt)>>49500
3066	embplant_pt	psaA	psaA>>49500	psaA>>49500	psaA(1-75,embplant_pt)>>49500
3104	embplant_pt	psaA	psaA>>49288	psaA>>49288	psaA(1-316,embplant_pt)>>49288
4170	embplant_mt	sdh3	sdh3>>48916	sdh3>>48916	sdh3(150-323,embplant_mt)>>48916
432	embplant_pt	rbcL	rbcL>>49482	rbcL>>49482	rbcL(1-277,embplant_pt)>>49482
43704	embplant_pt	rps4	rps4>>48782	rps4>>48782	rps4(1-216,embplant_pt)>>48782
43944	embplant_mt	ccmC	ccmC>>47970	ccmC>>47970	ccmC(40-758,embplant_mt)>>47970
44002	embplant_pt	rps4	rps4>>43704	rps4>>43704	rps4(940-1113,embplant_pt)>>43704
44630	embplant_pt	rps12_2	rps12_2>>49342	rps12_2>>49342	rps12_2(981-1071,embplant_pt)>>49342
44996	embplant_pt	rps4	rps4>>45786	rps4>>45786	rps4(22-142,embplant_pt)>>45786
45414	embplant_pt	ndhK	ndhK>>49386	ndhK>>49386	ndhK(68-265,embplant_pt)>>49386
45526	embplant_mt;embplant_pt	sdh3;ycf2	ycf2>>sdh3>>48916	ycf2>>sdh3>>48916	ycf2(6-185,embplant_pt)>>sdh3(1338-1540,embplant_mt)>>48916
45786	embplant_pt	rps4	rps4>>44996	rps4>>44996	rps4(1-311,embplant_pt)>>44996
46032	embplant_pt	ycf2	ycf2>>49470	ycf2>>49470	ycf2(1-591,embplant_pt)>>49470
46962	embplant_pt	ycf2	ycf2>>48586	ycf2>>48586	ycf2(1-168,embplant_pt)>>48586
47124	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>49404	rps13>>rrn23>>49404	rps13(136-486,embplant_mt)>>rrn23(782-856,embplant_pt)>>49404
47342	embplant_pt	rpoC2	rpoC2>>49380	rpoC2>>49380	rpoC2(1-300,embplant_pt)>>49380
47372	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
47476	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
47932	embplant_pt	psbZ	psbZ>>48568	psbZ>>48568	psbZ(1-144,embplant_pt)>>48568
47942	embplant_pt	rpl2	rpl2>>48920	rpl2>>48920	rpl2(85-159,embplant_pt)>>48920
47968	embplant_pt	ycf3	ycf3>>49440	ycf3>>49440	ycf3(31-175,embplant_pt)>>49440
47970	embplant_pt	rpl23	rpl23>>47942	rpl23>>47942	rpl23(136-417,embplant_pt)>>47942
48006	embplant_pt	rbcL	rbcL>>49482	rbcL>>49482	rbcL(1-609,embplant_pt)>>49482
48426	embplant_pt	psbT	psbT>>49086	psbT>>49086	psbT(993-1064,embplant_pt)>>49086
48452	embplant_pt	rpoC1	rpoC1>>49270	rpoC1>>49270	rpoC1(6-383,embplant_pt)>>49270
48490	embplant_pt	psaA	psaA>>49500	psaA>>49500	psaA(1-291,embplant_pt)>>49500
48568	embplant_pt	psbC	psbC>>47932	psbC>>47932	psbC(1-124,embplant_pt)>>47932
48586	embplant_pt	ycf2	ycf2>>49470	ycf2>>49470	ycf2(1-587,embplant_pt)>>49470
48650	embplant_pt	ycf3	ycf3>>48782	ycf3>>48782	ycf3(5376-5527,embplant_pt)>>48782
48658	embplant_pt	ycf2	ycf2>>46962	ycf2>>46962	ycf2(1-287,embplant_pt)>>46962
48780	embplant_pt	rrn23	rrn23>>49404	rrn23>>49404	rrn23(678-752,embplant_pt)>>49404
48782	embplant_pt	rps4	rps4>>47968	rps4>>47968	rps4(1-169,embplant_pt)>>47968
48784	embplant_pt	atpB,atpE,ndhC,ndhK	atpB>>atpE>>ndhC>>ndhK>>49386	atpB>>atpE>>ndhC>>ndhK>>49386	atpB(703-2199,embplant_pt)>>atpE(2196-2585,embplant_pt)>>ndhC(4350-4712,embplant_pt)>>ndhK(4682-5443,embplant_pt)>>49386
48844	embplant_pt	ycf2	ycf2>>47970	ycf2>>47970	ycf2(1-4920,embplant_pt)>>47970
48880	embplant_mt;embplant_pt	rrnL;rrn23,rrn4.5,rrn5	rrn5>>rrn4.5>>rrn23>>rrnL>>49404	rrn5>>rrn4.5>>rrn23>>rrnL>>49404	rrn5(984-1104,embplant_pt)>>rrn4.5(1329-1430,embplant_pt)>>rrn23(1531-2263,embplant_pt)>>rrnL(1562-2081,embplant_mt)>>49404
48886	embplant_pt	rpl2	rpl2>>48920	rpl2>>48920	rpl2(95-458,embplant_pt)>>48920
