EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10308	embplant_pt	ndhB	ndhB>>53832	ndhB>>53832	ndhB(790-864,embplant_pt)>>53832
10876	embplant_pt	psaA	psaA>>53802	psaA>>53802	psaA(1-144,embplant_pt)>>53802
11192	embplant_pt	ycf2	ycf2>>13916	ycf2>>13916	ycf2(1-251,embplant_pt)>>13916
1344	embplant_pt	rpl2	rpl2>>53018	rpl2>>53018	rpl2(1-75,embplant_pt)>>53018
13916	embplant_pt	ycf2	ycf2>>52912	ycf2>>52912	ycf2(1-114,embplant_pt)>>52912
14248	embplant_pt	psbB	psbB>>53778	psbB>>53778	psbB(1-266,embplant_pt)>>53778
14720	embplant_pt	rpoC1	rpoC1>>53772	rpoC1>>53772	rpoC1(1-375,embplant_pt)>>53772
3292	embplant_pt	psaA	psaA>>53844	psaA>>53844	psaA(1-216,embplant_pt)>>53844
3294	embplant_pt	psaA	psaA>>53844	psaA>>53844	psaA(1-75,embplant_pt)>>53844
3332	embplant_pt	psaA	psaA>>53632	psaA>>53632	psaA(1-316,embplant_pt)>>53632
4250	embplant_mt	rrn5	rrn5>>3572	rrn5>>3572	rrn5(196-311,embplant_mt)>>3572
4476	embplant_pt	ndhB	ndhB>>53832	ndhB>>53832	ndhB(1032-1401,embplant_pt)>>53832
468	embplant_pt	rbcL	rbcL>>53826	rbcL>>53826	rbcL(1-277,embplant_pt)>>53826
47796	embplant_pt	rps4	rps4>>53042	rps4>>53042	rps4(940-1113,embplant_pt)>>53042
48812	embplant_pt	rps4	rps4>>49620	rps4>>49620	rps4(22-142,embplant_pt)>>49620
49242	embplant_pt	ndhK	ndhK>>53730	ndhK>>53730	ndhK(68-265,embplant_pt)>>53730
49620	embplant_pt	rps4	rps4>>48812	rps4>>48812	rps4(1-311,embplant_pt)>>48812
49878	embplant_pt	ycf2	ycf2>>53808	ycf2>>53808	ycf2(1-591,embplant_pt)>>53808
50822	embplant_pt	rrn23	rrn23>>53736	rrn23>>53736	rrn23(3993-4476,embplant_pt)>>53736
50840	embplant_pt	ycf2	ycf2>>53170	ycf2>>53170	ycf2(1-168,embplant_pt)>>53170
51010	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>53748	rps13>>rrn23>>53748	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>53748
51236	embplant_pt	rpoC2	rpoC2>>53692	rpoC2>>53692	rpoC2(1-300,embplant_pt)>>53692
51356	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS(139-680,embplant_mt)>>rrn16(307-568,embplant_pt)>>rrnS(791-2052,embplant_mt)>>rrn16(938-1796,embplant_pt)
